,name,party,firstname,lastname,position,
0,"Akaan-Penttilä, Eero",kokoomus,Eero,Akaan-Penttilä,
1,"Harkimo, Leena",kokoomus,Leena,Harkimo,
2,"Heinonen, Olli-Pekka",kokoomus,Olli-Pekka,Heinonen,Liikenneministeri;; Liikenne- ja viestintäministeri,
3,"Holmlund, Anne",kokoomus,Anne,Holmlund,
4,"Häkämies, Jyri",kokoomus,Jyri,Häkämies,
5,"Itälä, Ville",kokoomus,Ville,Itälä,Pääministerin sijainen;; Sisäasiainministeri,
6,"Katainen, Jyrki",kokoomus,Jyrki,Katainen,
7,"Kummola, Kalervo",kokoomus,Kalervo,Kummola,
8,"Koskinen, Jari",kokoomus,Jari,Koskinen,Maa- ja metsätalousministeri,
9,"Kanerva, Seppo",kokoomus,Seppo,Kanerva,
10,"Kanerva, Ilkka",kokoomus,Ilkka,Kanerva,
11,"Hemmilä, Pertti",kokoomus,Pertti,Hemmilä,
12,"Lindén, Suvi",kokoomus,Suvi,Lindén,Kulttuuriministeri
13,"Niinistö, Sauli",kokoomus,Sauli,Niinistö,Pääministerin sijainen;; Valtiovarainministeri
14,"Mäki-Hakola, Pertti",kokoomus,Pertti,Mäki-Hakola,
15,"Pietikäinen, Sirpa",kokoomus,Sirpa,Pietikäinen,
16,"Piha, Kirsi",kokoomus,Kirsi,Piha,
17,"Ravi, Pekka",kokoomus,Pekka,Ravi,
18,"Vilén, Jari",kokoomus,Jari,Vilén,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Ministeri kauppa- ja teollisuusministeriössä
19,"Virén, Lasse",kokoomus,Lasse,Virén,
20,"Vahasalo, Raija",kokoomus,Raija,Vahasalo,
21,"Tiura, Marja",kokoomus,Marja,Tiura,
22,"Uosukainen, Riitta",kokoomus,Riitta,Uosukainen,
23,"Sarkomaa, Sari",kokoomus,Sari,Sarkomaa,
24,"Sasi, Kimmo",kokoomus,Kimmo,Sasi,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Liikenne- ja viestintäministeri;; Ministeri kauppa- ja teollisuusministeriössä
25,"Koskinen, Marjaana",kokoomus,Marjaana,Koskinen,
26,"Kuosmanen, Pekka",kokoomus,Pekka,Kuosmanen,
27,"Kurvinen, Esko",kokoomus,Esko,Kurvinen,
28,"Antvuori, Pirjo-Riitta",kokoomus,Pirjo-Riitta,Antvuori,
29,"Dromberg, Kaarina",kokoomus,Kaarina,Dromberg,Kulttuuriministeri
30,"Ihamäki, Timo",kokoomus,Timo,Ihamäki,
31,"Kantalainen, Kari",kokoomus,Kari,Kantalainen,
32,"Karpio, Juha",kokoomus,Juha,Karpio,
33,"Karttunen, Marjukka",kokoomus,Marjukka,Karttunen,
34,"Kokkonen, Paula",kokoomus,Paula,Kokkonen,
35,"Korhonen, Riitta",kokoomus,Riitta,Korhonen,
36,"Lehtimäki, Jouni",kokoomus,Jouni,Lehtimäki,
37,"Zyskowicz, Ben",kokoomus,Ben,Zyskowicz,
38,"Markkula-Kivisilta, Hanna",kokoomus,Hanna,Markkula-Kivisilta,
39,"Markkula, Markku",kokoomus,Markku,Markkula,
40,"Nepponen, Olli",kokoomus,Olli,Nepponen,
41,"Nurmi, Tuija",kokoomus,Tuija,Nurmi,
42,"Perho, Maija",kokoomus,Maija,Perho,Sosiaali- ja terveysministeri
43,"Salo, Petri",kokoomus,Petri,Salo,
44,"Seppälä, Timo",kokoomus,Timo,Seppälä,
45,"Sjöblom, Juhani",kokoomus,Juhani,Sjöblom,
46,"Tiuri, Martti",kokoomus,Martti,Tiuri,
47,"Tulonen, Irja",kokoomus,Irja,Tulonen,
48,"Aittoniemi, Sulo",alkiolainen,Sulo,Aittoniemi,
49,"Kallis, Bjarne",kd,Bjarne,Kallis,
50,"Kankaanniemi, Toimi",kd,Toimi,Kankaanniemi,
51,"Jääskeläinen, Jouko",kd,Jouko,Jääskeläinen,
52,"Räsänen, Päivi",kd,Päivi,Räsänen,
53,"Hiltunen, Leea",kd,Leea,Hiltunen,
54,"Kemppainen, Marja-Leena",kd,Marja-Leena,Kemppainen,
55,"Kärkkäinen, Kari",kd,Kari,Kärkkäinen,
56,"Rauhala, Leena",kd,Leena,Rauhala,
57,"Seivästö, Ismo",kd,Ismo,Seivästö,
58,"Smeds, Sakari",kd,Sakari,Smeds,
59,"Vistbacka, Raimo",perussuomalaiset,Raimo,Vistbacka,
60,"Biaudet, Eva",rkp,Eva,Biaudet,Peruspalveluministeri;; Peruspalveluministeri
61,"Enestam, Jan-Erik",rkp,Jan-Erik,Enestam,Ministeri ulkoasiainministeriössä;; Puolustusministeri
62,"Erlund, Rainer",rkp,Rainer,Erlund,
63,"Gestrin, Christina",rkp,Christina,Gestrin,
64,"Lax, Henrik",rkp,Henrik,Lax,
65,"Pietikäinen, Margareta",rkp,Margareta,Pietikäinen,
66,"Nordman, Håkan",rkp,Håkan,Nordman,
67,"Bremer, Klaus",rkp,Klaus,Bremer,
68,"Granvik, Nils-Anders",rkp,Nils-Anders,Granvik,
69,"Jansson, Gunnar",rkp,Gunnar,Jansson,
70,"Wideroos, Ulla-Maj",rkp,Ulla-Maj,Wideroos,
71,"Löv, Pehr",rkp,Pehr,Löv,
72,"Rosendahl, Ola",rkp,Ola,Rosendahl,
73,"Helle, Esko",vasemmistoliitto,Esko,Helle,
74,"Korhonen, Martti",vasemmistoliitto,Martti,Korhonen,Alue- ja kuntaministeri
75,"Lapintie, Annika",vasemmistoliitto,Annika,Lapintie,
76,"Ojala, Outi",vasemmistoliitto,Outi,Ojala,
77,"Puhjo, Veijo",vasemmistoliitto,Veijo,Puhjo,
78,"Tiusanen, Pentti",vasemmistoliitto,Pentti,Tiusanen,
79,"Tennilä, Esko-Juhani",vasemmistoliitto,Esko-Juhani,Tennilä,
80,"Stenius-Kaukonen, Marjatta",vasemmistoliitto,Marjatta,Stenius-Kaukonen,
81,"Siimes, Suvi-Anne",vasemmistoliitto,Suvi-Anne,Siimes,Ministeri ulkoasiainministeriössä;; Ministeri valtiovarainministeriössä;; Ministeri ympäristöministeriössä
82,"Huotari, Anne",vasemmistoliitto,Anne,Huotari,
83,"Huutola, Matti",vasemmistoliitto,Matti,Huutola,
84,"Immonen, Mikko",vasemmistoliitto,Mikko,Immonen,
85,"Kangas, Matti",vasemmistoliitto,Matti,Kangas,
86,"Kuoppa, Mikko",vasemmistoliitto,Mikko,Kuoppa,
87,"Laakso, Jaakko",vasemmistoliitto,Jaakko,Laakso,
88,"Polvi, Iivo",vasemmistoliitto,Iivo,Polvi,
89,"Syvärinen, Katja",vasemmistoliitto,Katja,Syvärinen,
90,"Uotila, Kari",vasemmistoliitto,Kari,Uotila,
91,"Valpas, Unto",vasemmistoliitto,Unto,Valpas,
92,"Vokkolainen, Jorma",vasemmistoliitto,Jorma,Vokkolainen,
93,"Tykkyläinen, Marja-Liisa",vasemmistoliitto,Marja-Liisa,Tykkyläinen,
94,"Turtiainen, Pertti",vasemmistoliitto,Pertti,Turtiainen,
95,"Andersson, Janina",vihreät,Janina,Andersson,
96,"Brax, Tuija",vihreät,Tuija,Brax,
97,"Forsius, Merikukka",vihreät,Merikukka,Forsius,
98,"Hassi, Satu",vihreät,Satu,Hassi,Ministeri ulkoasiainministeriössä;; Ympäristöministeri
99,"Krohn, Irina",vihreät,Irina,Krohn,
100,"Ojansuu, Kirsi",vihreät,Kirsi,Ojansuu,
101,"Pulliainen, Erkki",vihreät,Erkki,Pulliainen,
102,"Soininvaara, Osmo",vihreät,Osmo,Soininvaara,Peruspalveluministeri
103,"Sinnemäki, Anni",vihreät,Anni,Sinnemäki,
104,"Anttila, Ulla",vihreät,Ulla,Anttila,
105,"Mertjärvi, Rauha-Maria",vihreät,Rauha-Maria,Mertjärvi,
106,"Aho, Esko",keskusta,Esko,Aho,
107,"Ala-Nissilä, Olavi",keskusta,Olavi,Ala-Nissilä,
108,"Anttila, Sirkka-Liisa",keskusta,Sirkka-Liisa,Anttila,
109,"Aula, Maria Kaisa",keskusta,Maria Kaisa,Aula,
110,"Isohookana-Asunmaa, Tytti",keskusta,Tytti,Isohookana-Asunmaa,
111,"Jäätteenmäki, Anneli",keskusta,Anneli,Jäätteenmäki,
112,"Kalli, Timo",keskusta,Timo,Kalli,
113,"Väyrynen, Paavo",keskusta,Paavo,Väyrynen,
114,"Kiviniemi, Mari",keskusta,Mari,Kiviniemi,
115,"Korkeaoja, Juha",keskusta,Juha,Korkeaoja,
116,"Kääriäinen, Seppo",keskusta,Seppo,Kääriäinen,
117,"Lehtomäki, Paula",keskusta,Paula,Lehtomäki,
118,"Manninen, Hannes",keskusta,Hannes,Manninen,
119,"Pekkarinen, Mauri",keskusta,Mauri,Pekkarinen,
120,"Karpela, Tanja",keskusta,Tanja,Karpela,
121,"Vanhanen, Matti",keskusta,Matti,Vanhanen,
122,"Vehviläinen, Anu",keskusta,Anu,Vehviläinen,
123,"Takkula, Hannu",keskusta,Hannu,Takkula,
124,"Lintilä, Mika",keskusta,Mika,Lintilä,
125,"Aho, Hannu",keskusta,Hannu,Aho,
126,"Lahtela, Seppo",keskusta,Seppo,Lahtela,
127,"Huuhtanen, Jorma",keskusta,Jorma,Huuhtanen,
128,"Karjula, Kyösti",keskusta,Kyösti,Karjula,
129,"Kerola, Inkeri",keskusta,Inkeri,Kerola,
130,"Keränen, Niilo",keskusta,Niilo,Keränen,
131,"Komi, Katri",keskusta,Katri,Komi,
132,"Korteniemi, Ossi",keskusta,Ossi,Korteniemi,
133,"Korva, Timo",keskusta,Timo,Korva,
134,"Laukkanen, Markku",keskusta,Markku,Laukkanen,
135,"Leppä, Jari",keskusta,Jari,Leppä,
136,"Leppänen, Frans",keskusta,Frans,Leppänen,
137,"Lämsä, Eero",keskusta,Eero,Lämsä,
138,"Myllyniemi, Kari",keskusta,Kari,Myllyniemi,
139,"Mölsä, Tero",keskusta,Tero,Mölsä,
140,"Neittaanmäki, Petri",keskusta,Petri,Neittaanmäki,
141,"Nousiainen, Pekka",keskusta,Pekka,Nousiainen,
142,"Oinonen, Lauri",keskusta,Lauri,Oinonen,
143,"Puhakka, Osmo",keskusta,Osmo,Puhakka,
144,"Ranta-Muotio, Aulis",keskusta,Aulis,Ranta-Muotio,
145,"Rantakangas, Antti",keskusta,Antti,Rantakangas,
146,"Rehula, Juha",keskusta,Juha,Rehula,
147,"Rossi, Markku",keskusta,Markku,Rossi,
148,"Ryynänen, Mirja",keskusta,Mirja,Ryynänen,
149,"Saapunki, Pauli",keskusta,Pauli,Saapunki,
150,"Salo, Mauri",keskusta,Mauri,Salo,
151,"Vihriälä, Jukka",keskusta,Jukka,Vihriälä,
152,"Vilkuna, Pekka",keskusta,Pekka,Vilkuna,
153,"Väistö, Matti",keskusta,Matti,Väistö,
154,"Ylä-Mononen, Jaana",keskusta,Jaana,Ylä-Mononen,
155,"Hyssälä, Liisa",keskusta,Liisa,Hyssälä,
156,"Backman, Jouni",sdp,Jouni,Backman,Ympäristöministeri
157,"Filatov, Tarja",sdp,Tarja,Filatov,Työministeri
158,"Gustafsson, Jukka",sdp,Jukka,Gustafsson,
159,"Haatainen, Tuula",sdp,Tuula,Haatainen,
160,"Taipale, Ilkka",sdp,Ilkka,Taipale,
161,"Halonen, Tarja",sdp,Tarja,Halonen,Ulkoasiainministeri
162,"Hiltunen, Rakel",sdp,Rakel,Hiltunen,
163,"Jaakonsaari, Liisa",sdp,Liisa,Jaakonsaari,
164,"Kalliomäki, Antti",sdp,Antti,Kalliomäki,
165,"Kähkönen, Lauri",sdp,Lauri,Kähkönen,
166,"Kiljunen, Kimmo",sdp,Kimmo,Kiljunen,
167,"Kekkonen, Antero",sdp,Antero,Kekkonen,
168,"Koskinen, Johannes",sdp,Johannes,Koskinen,Oikeusministeri
169,"Kuisma, Risto",sdp,Risto,Kuisma,
170,"Lipponen, Paavo",sdp,Paavo,Lipponen,Pääministeri
171,"Paasio, Heli",sdp,Heli,Paasio,
172,"Rajamäki, Kari",sdp,Kari,Rajamäki,
173,"Viitanen, Pia",sdp,Pia,Viitanen,
174,"Tuomioja, Erkki",sdp,Erkki,Tuomioja,Ulkoasiainministeri;; Kauppa- ja teollisuusministeri
175,"Urpilainen, Kari",sdp,Kari,Urpilainen,
176,"Skinnari, Jouko",sdp,Jouko,Skinnari,
177,"Elo, Mikko",sdp,Mikko,Elo,
178,"Huovinen, Susanna",sdp,Susanna,Huovinen,
179,"Juurola, Ulla",sdp,Ulla,Juurola,
180,"Kallio, Reijo",sdp,Reijo,Kallio,
181,"Kanerva, Erkki",sdp,Erkki,Kanerva,
182,"Karhu, Saara",sdp,Saara,Karhu,
183,"Karjalainen, Tapio",sdp,Tapio,Karjalainen,
184,"Kautto, Tarja",sdp,Tarja,Kautto,
185,"Koski, Valto",sdp,Valto,Koski,
186,"Lahtela, Esa",sdp,Esa,Lahtela,
187,"Laitinen, Reijo",sdp,Reijo,Laitinen,
188,"Luhtanen, Leena",sdp,Leena,Luhtanen,
189,"Mikkola, Jukka",sdp,Jukka,Mikkola,
190,"Mähönen, Raimo",sdp,Raimo,Mähönen,
191,"Mönkäre, Sinikka",sdp,Sinikka,Mönkäre,Kauppa- ja teollisuusministeri;; Työministeri
192,"Olin, Kalevi",sdp,Kalevi,Olin,
193,"Peltomo, Pirkko",sdp,Pirkko,Peltomo,
194,"Prusti, Riitta",sdp,Riitta,Prusti,
195,"Puisto, Virpa",sdp,Virpa,Puisto,
196,"Rahkonen, Susanna",sdp,Susanna,Rahkonen,
197,"Ranta, Jussi",sdp,Jussi,Ranta,
198,"Rask, Maija",sdp,Maija,Rask,Opetusministeri
199,"Rönni, Tero",sdp,Tero,Rönni,
200,"Saarinen, Matti",sdp,Matti,Saarinen,
201,"Seppälä, Arto",sdp,Arto,Seppälä,
202,"Tahvanainen, Säde",sdp,Säde,Tahvanainen,
203,"Vehkaoja, Marjatta",sdp,Marjatta,Vehkaoja,
204,"Vähänäkki, Matti",sdp,Matti,Vähänäkki,
205,"Wallin, Harry",sdp,Harry,Wallin,
206,"Hellberg, Klaus",sdp,Klaus,Hellberg,
207,"Kuisma, Risto",remonttiryhmä,Risto,Kuisma,
