,name,party,firstname,lastname,position,years,key
0,"Akaan-Penttilä, Eero",Kokoomus,Eero,Akaan-Penttilä,,1999-2003,Eero_Akaan-Penttilä
1,"Harkimo, Leena",Kokoomus,Leena,Harkimo,,1999-2003,Leena_Harkimo
2,"Heinonen, Olli-Pekka",Kokoomus,Olli-Pekka,Heinonen,Liikenneministeri;; Liikenne- ja viestintäministeri,1999-2003,Olli-Pekka_Heinonen
3,"Holmlund, Anne",Kokoomus,Anne,Holmlund,,1999-2003,Anne_Holmlund
4,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies,,1999-2003,Jyri_Häkämies
5,"Itälä, Ville",Kokoomus,Ville,Itälä,Pääministerin sijainen;; Sisäasiainministeri,1999-2003,Ville_Itälä
6,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen,,1999-2003,Jyrki_Katainen
7,"Kummola, Kalervo",Kokoomus,Kalervo,Kummola,,1999-2003,Kalervo_Kummola
8,"Koskinen, Jari",Kokoomus,Jari,Koskinen,Maa- ja metsätalousministeri,1999-2003,Jari_Koskinen
9,"Kanerva, Seppo",Kokoomus,Seppo,Kanerva,,1999-2003,Seppo_Kanerva
10,"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva,,1999-2003,Ilkka_Kanerva
11,"Hemmilä, Pertti",Kokoomus,Pertti,Hemmilä,,1999-2003,Pertti_Hemmilä
12,"Lindén, Suvi",Kokoomus,Suvi,Lindén,Kulttuuriministeri,1999-2003,Suvi_Lindén
13,"Niinistö, Sauli",Kokoomus,Sauli,Niinistö,Pääministerin sijainen;; Valtiovarainministeri,1999-2003,Sauli_Niinistö
14,"Mäki-Hakola, Pertti",Kokoomus,Pertti,Mäki-Hakola,,1999-2003,Pertti_Mäki-Hakola
15,"Pietikäinen, Sirpa",Kokoomus,Sirpa,Pietikäinen,,1999-2003,Sirpa_Pietikäinen
16,"Piha, Kirsi",Kokoomus,Kirsi,Piha,,1999-2003,Kirsi_Piha
17,"Ravi, Pekka",Kokoomus,Pekka,Ravi,,1999-2003,Pekka_Ravi
18,"Vilén, Jari",Kokoomus,Jari,Vilén,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Ministeri kauppa- ja teollisuusministeriössä,1999-2003,Jari_Vilén
19,"Virén, Lasse",Kokoomus,Lasse,Virén,,1999-2003,Lasse_Virén
20,"Vahasalo, Raija",Kokoomus,Raija,Vahasalo,,1999-2003,Raija_Vahasalo
21,"Tiura, Marja",Kokoomus,Marja,Tiura,,1999-2003,Marja_Tiura
22,"Uosukainen, Riitta",Kokoomus,Riitta,Uosukainen,,1999-2003,Riitta_Uosukainen
23,"Sarkomaa, Sari",Kokoomus,Sari,Sarkomaa,,1999-2003,Sari_Sarkomaa
24,"Sasi, Kimmo",Kokoomus,Kimmo,Sasi,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Liikenne- ja viestintäministeri;; Ministeri kauppa- ja teollisuusministeriössä,1999-2003,Kimmo_Sasi
25,"Koskinen, Marjaana",Kokoomus,Marjaana,Koskinen,,1999-2003,Marjaana_Koskinen
26,"Kuosmanen, Pekka",Kokoomus,Pekka,Kuosmanen,,1999-2003,Pekka_Kuosmanen
27,"Kurvinen, Esko",Kokoomus,Esko,Kurvinen,,1999-2003,Esko_Kurvinen
28,"Antvuori, Pirjo-Riitta",Kokoomus,Pirjo-Riitta,Antvuori,,1999-2003,Pirjo-Riitta_Antvuori
29,"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg,Kulttuuriministeri,1999-2003,Kaarina_Dromberg
30,"Ihamäki, Timo",Kokoomus,Timo,Ihamäki,,1999-2003,Timo_Ihamäki
31,"Kantalainen, Kari",Kokoomus,Kari,Kantalainen,,1999-2003,Kari_Kantalainen
32,"Karpio, Juha",Kokoomus,Juha,Karpio,,1999-2003,Juha_Karpio
33,"Karttunen, Marjukka",Kokoomus,Marjukka,Karttunen,,1999-2003,Marjukka_Karttunen
34,"Kokkonen, Paula",Kokoomus,Paula,Kokkonen,,1999-2003,Paula_Kokkonen
35,"Korhonen, Riitta",Kokoomus,Riitta,Korhonen,,1999-2003,Riitta_Korhonen
36,"Lehtimäki, Jouni",Kokoomus,Jouni,Lehtimäki,,1999-2003,Jouni_Lehtimäki
37,"Zyskowicz, Ben",Kokoomus,Ben,Zyskowicz,,1999-2003,Ben_Zyskowicz
38,"Markkula-Kivisilta, Hanna",Kokoomus,Hanna,Markkula-Kivisilta,,1999-2003,Hanna_Markkula-Kivisilta
39,"Markkula, Markku",Kokoomus,Markku,Markkula,,1999-2003,Markku_Markkula
40,"Nepponen, Olli",Kokoomus,Olli,Nepponen,,1999-2003,Olli_Nepponen
41,"Nurmi, Tuija",Kokoomus,Tuija,Nurmi,,1999-2003,Tuija_Nurmi
42,"Perho, Maija",Kokoomus,Maija,Perho,Sosiaali- ja terveysministeri,1999-2003,Maija_Perho
43,"Salo, Petri",Kokoomus,Petri,Salo,,1999-2003,Petri_Salo
44,"Seppälä, Timo",Kokoomus,Timo,Seppälä,,1999-2003,Timo_Seppälä
45,"Sjöblom, Juhani",Kokoomus,Juhani,Sjöblom,,1999-2003,Juhani_Sjöblom
46,"Tiuri, Martti",Kokoomus,Martti,Tiuri,,1999-2003,Martti_Tiuri
47,"Tulonen, Irja",Kokoomus,Irja,Tulonen,,1999-2003,Irja_Tulonen
48,"Aittoniemi, Sulo",alkiolainen,Sulo,Aittoniemi,,1999-2003,Sulo_Aittoniemi
49,"Kallis, Bjarne",Kristillisdemokraatit,Bjarne,Kallis,,1999-2003,Bjarne_Kallis
50,"Kankaanniemi, Toimi",Kristillisdemokraatit,Toimi,Kankaanniemi,,1999-2003,Toimi_Kankaanniemi
51,"Jääskeläinen, Jouko",Kristillisdemokraatit,Jouko,Jääskeläinen,,1999-2003,Jouko_Jääskeläinen
52,"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen,,1999-2003,Päivi_Räsänen
53,"Hiltunen, Leea",Kristillisdemokraatit,Leea,Hiltunen,,1999-2003,Leea_Hiltunen
54,"Kemppainen, Marja-Leena",Kristillisdemokraatit,Marja-Leena,Kemppainen,,1999-2003,Marja-Leena_Kemppainen
55,"Kärkkäinen, Kari",Kristillisdemokraatit,Kari,Kärkkäinen,,1999-2003,Kari_Kärkkäinen
56,"Rauhala, Leena",Kristillisdemokraatit,Leena,Rauhala,,1999-2003,Leena_Rauhala
57,"Seivästö, Ismo",Kristillisdemokraatit,Ismo,Seivästö,,1999-2003,Ismo_Seivästö
58,"Smeds, Sakari",Kristillisdemokraatit,Sakari,Smeds,,1999-2003,Sakari_Smeds
59,"Vistbacka, Raimo",Perussuomalaiset,Raimo,Vistbacka,,1999-2003,Raimo_Vistbacka
60,"Biaudet, Eva",RKP,Eva,Biaudet,Peruspalveluministeri;; Peruspalveluministeri,1999-2003,Eva_Biaudet
61,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam,Ministeri ulkoasiainministeriössä;; Puolustusministeri,1999-2003,Jan-Erik_Enestam
62,"Erlund, Rainer",RKP,Rainer,Erlund,,1999-2003,Rainer_Erlund
63,"Gestrin, Christina",RKP,Christina,Gestrin,,1999-2003,Christina_Gestrin
64,"Lax, Henrik",RKP,Henrik,Lax,,1999-2003,Henrik_Lax
65,"Pietikäinen, Margareta",RKP,Margareta,Pietikäinen,,1999-2003,Margareta_Pietikäinen
66,"Nordman, Håkan",RKP,Håkan,Nordman,,1999-2003,Håkan_Nordman
67,"Bremer, Klaus",RKP,Klaus,Bremer,,1999-2003,Klaus_Bremer
68,"Granvik, Nils-Anders",RKP,Nils-Anders,Granvik,,1999-2003,Nils-Anders_Granvik
69,"Jansson, Gunnar",RKP,Gunnar,Jansson,,1999-2003,Gunnar_Jansson
70,"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos,,1999-2003,Ulla-Maj_Wideroos
71,"Löv, Pehr",RKP,Pehr,Löv,,1999-2003,Pehr_Löv
72,"Rosendahl, Ola",RKP,Ola,Rosendahl,,1999-2003,Ola_Rosendahl
73,"Helle, Esko",Vasemmistoliitto,Esko,Helle,,1999-2003,Esko_Helle
74,"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen,Alue- ja kuntaministeri,1999-2003,Martti_Korhonen
75,"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie,,1999-2003,Annika_Lapintie
76,"Ojala, Outi",Vasemmistoliitto,Outi,Ojala,,1999-2003,Outi_Ojala
77,"Puhjo, Veijo",Vasemmistoliitto,Veijo,Puhjo,,1999-2003,Veijo_Puhjo
78,"Tiusanen, Pentti",Vasemmistoliitto,Pentti,Tiusanen,,1999-2003,Pentti_Tiusanen
79,"Tennilä, Esko-Juhani",Vasemmistoliitto,Esko-Juhani,Tennilä,,1999-2003,Esko-Juhani_Tennilä
80,"Stenius-Kaukonen, Marjatta",Vasemmistoliitto,Marjatta,Stenius-Kaukonen,,1999-2003,Marjatta_Stenius-Kaukonen
81,"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes,Ministeri ulkoasiainministeriössä;; Ministeri valtiovarainministeriössä;; Ministeri ympäristöministeriössä,1999-2003,Suvi-Anne_Siimes
82,"Huotari, Anne",Vasemmistoliitto,Anne,Huotari,,1999-2003,Anne_Huotari
83,"Huutola, Matti",Vasemmistoliitto,Matti,Huutola,,1999-2003,Matti_Huutola
84,"Immonen, Mikko",Vasemmistoliitto,Mikko,Immonen,,1999-2003,Mikko_Immonen
85,"Kangas, Matti",Vasemmistoliitto,Matti,Kangas,,1999-2003,Matti_Kangas
86,"Kuoppa, Mikko",Vasemmistoliitto,Mikko,Kuoppa,,1999-2003,Mikko_Kuoppa
87,"Laakso, Jaakko",Vasemmistoliitto,Jaakko,Laakso,,1999-2003,Jaakko_Laakso
88,"Polvi, Iivo",Vasemmistoliitto,Iivo,Polvi,,1999-2003,Iivo_Polvi
89,"Syvärinen, Katja",Vasemmistoliitto,Katja,Syvärinen,,1999-2003,Katja_Syvärinen
90,"Uotila, Kari",Vasemmistoliitto,Kari,Uotila,,1999-2003,Kari_Uotila
91,"Valpas, Unto",Vasemmistoliitto,Unto,Valpas,,1999-2003,Unto_Valpas
92,"Vokkolainen, Jorma",Vasemmistoliitto,Jorma,Vokkolainen,,1999-2003,Jorma_Vokkolainen
93,"Tykkyläinen, Marja-Liisa",Vasemmistoliitto,Marja-Liisa,Tykkyläinen,,1999-2003,Marja-Liisa_Tykkyläinen
94,"Turtiainen, Pertti",Vasemmistoliitto,Pertti,Turtiainen,,1999-2003,Pertti_Turtiainen
95,"Andersson, Janina",Vihreät,Janina,Andersson,,1999-2003,Janina_Andersson
96,"Brax, Tuija",Vihreät,Tuija,Brax,,1999-2003,Tuija_Brax
97,"Forsius, Merikukka",Vihreät,Merikukka,Forsius,,1999-2003,Merikukka_Forsius
98,"Hassi, Satu",Vihreät,Satu,Hassi,Ministeri ulkoasiainministeriössä;; Ympäristöministeri,1999-2003,Satu_Hassi
99,"Krohn, Irina",Vihreät,Irina,Krohn,,1999-2003,Irina_Krohn
100,"Ojansuu, Kirsi",Vihreät,Kirsi,Ojansuu,,1999-2003,Kirsi_Ojansuu
101,"Pulliainen, Erkki",Vihreät,Erkki,Pulliainen,,1999-2003,Erkki_Pulliainen
102,"Soininvaara, Osmo",Vihreät,Osmo,Soininvaara,Peruspalveluministeri,1999-2003,Osmo_Soininvaara
103,"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki,,1999-2003,Anni_Sinnemäki
104,"Anttila, Ulla",Vihreät,Ulla,Anttila,,1999-2003,Ulla_Anttila
105,"Mertjärvi, Rauha-Maria",Vihreät,Rauha-Maria,Mertjärvi,,1999-2003,Rauha-Maria_Mertjärvi
106,"Aho, Esko",Keskusta,Esko,Aho,,1999-2003,Esko_Aho
107,"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä,,1999-2003,Olavi_Ala-Nissilä
108,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila,,1999-2003,Sirkka-Liisa_Anttila
109,"Aula, Maria Kaisa",Keskusta,Maria Kaisa,Aula,,1999-2003,Maria Kaisa_Aula
110,"Isohookana-Asunmaa, Tytti",Keskusta,Tytti,Isohookana-Asunmaa,,1999-2003,Tytti_Isohookana-Asunmaa
111,"Jäätteenmäki, Anneli",Keskusta,Anneli,Jäätteenmäki,,1999-2003,Anneli_Jäätteenmäki
112,"Kalli, Timo",Keskusta,Timo,Kalli,,1999-2003,Timo_Kalli
113,"Väyrynen, Paavo",Keskusta,Paavo,Väyrynen,,1999-2003,Paavo_Väyrynen
114,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi,,1999-2003,Mari_Kiviniemi
115,"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja,,1999-2003,Juha_Korkeaoja
116,"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen,,1999-2003,Seppo_Kääriäinen
117,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki,,1999-2003,Paula_Lehtomäki
118,"Manninen, Hannes",Keskusta,Hannes,Manninen,,1999-2003,Hannes_Manninen
119,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen,,1999-2003,Mauri_Pekkarinen
120,"Karpela, Tanja",Keskusta,Tanja,Karpela,,1999-2003,Tanja_Karpela
121,"Vanhanen, Matti",Keskusta,Matti,Vanhanen,,1999-2003,Matti_Vanhanen
122,"Vehviläinen, Anu",Keskusta,Anu,Vehviläinen,,1999-2003,Anu_Vehviläinen
123,"Takkula, Hannu",Keskusta,Hannu,Takkula,,1999-2003,Hannu_Takkula
124,"Lintilä, Mika",Keskusta,Mika,Lintilä,,1999-2003,Mika_Lintilä
125,"Aho, Hannu",Keskusta,Hannu,Aho,,1999-2003,Hannu_Aho
126,"Lahtela, Seppo",Keskusta,Seppo,Lahtela,,1999-2003,Seppo_Lahtela
127,"Huuhtanen, Jorma",Keskusta,Jorma,Huuhtanen,,1999-2003,Jorma_Huuhtanen
128,"Karjula, Kyösti",Keskusta,Kyösti,Karjula,,1999-2003,Kyösti_Karjula
129,"Kerola, Inkeri",Keskusta,Inkeri,Kerola,,1999-2003,Inkeri_Kerola
130,"Keränen, Niilo",Keskusta,Niilo,Keränen,,1999-2003,Niilo_Keränen
131,"Komi, Katri",Keskusta,Katri,Komi,,1999-2003,Katri_Komi
132,"Korteniemi, Ossi",Keskusta,Ossi,Korteniemi,,1999-2003,Ossi_Korteniemi
133,"Korva, Timo",Keskusta,Timo,Korva,,1999-2003,Timo_Korva
134,"Laukkanen, Markku",Keskusta,Markku,Laukkanen,,1999-2003,Markku_Laukkanen
135,"Leppä, Jari",Keskusta,Jari,Leppä,,1999-2003,Jari_Leppä
136,"Leppänen, Frans",Keskusta,Frans,Leppänen,,1999-2003,Frans_Leppänen
137,"Lämsä, Eero",Keskusta,Eero,Lämsä,,1999-2003,Eero_Lämsä
138,"Myllyniemi, Kari",Keskusta,Kari,Myllyniemi,,1999-2003,Kari_Myllyniemi
139,"Mölsä, Tero",Keskusta,Tero,Mölsä,,1999-2003,Tero_Mölsä
140,"Neittaanmäki, Petri",Keskusta,Petri,Neittaanmäki,,1999-2003,Petri_Neittaanmäki
141,"Nousiainen, Pekka",Keskusta,Pekka,Nousiainen,,1999-2003,Pekka_Nousiainen
142,"Oinonen, Lauri",Keskusta,Lauri,Oinonen,,1999-2003,Lauri_Oinonen
143,"Puhakka, Osmo",Keskusta,Osmo,Puhakka,,1999-2003,Osmo_Puhakka
144,"Ranta-Muotio, Aulis",Keskusta,Aulis,Ranta-Muotio,,1999-2003,Aulis_Ranta-Muotio
145,"Rantakangas, Antti",Keskusta,Antti,Rantakangas,,1999-2003,Antti_Rantakangas
146,"Rehula, Juha",Keskusta,Juha,Rehula,,1999-2003,Juha_Rehula
147,"Rossi, Markku",Keskusta,Markku,Rossi,,1999-2003,Markku_Rossi
148,"Ryynänen, Mirja",Keskusta,Mirja,Ryynänen,,1999-2003,Mirja_Ryynänen
149,"Saapunki, Pauli",Keskusta,Pauli,Saapunki,,1999-2003,Pauli_Saapunki
150,"Salo, Mauri",Keskusta,Mauri,Salo,,1999-2003,Mauri_Salo
151,"Vihriälä, Jukka",Keskusta,Jukka,Vihriälä,,1999-2003,Jukka_Vihriälä
152,"Vilkuna, Pekka",Keskusta,Pekka,Vilkuna,,1999-2003,Pekka_Vilkuna
153,"Väistö, Matti",Keskusta,Matti,Väistö,,1999-2003,Matti_Väistö
154,"Ylä-Mononen, Jaana",Keskusta,Jaana,Ylä-Mononen,,1999-2003,Jaana_Ylä-Mononen
155,"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä,,1999-2003,Liisa_Hyssälä
156,"Backman, Jouni",SDP,Jouni,Backman,Ympäristöministeri,1999-2003,Jouni_Backman
157,"Filatov, Tarja",SDP,Tarja,Filatov,Työministeri,1999-2003,Tarja_Filatov
158,"Gustafsson, Jukka",SDP,Jukka,Gustafsson,,1999-2003,Jukka_Gustafsson
159,"Haatainen, Tuula",SDP,Tuula,Haatainen,,1999-2003,Tuula_Haatainen
160,"Taipale, Ilkka",SDP,Ilkka,Taipale,,1999-2003,Ilkka_Taipale
161,"Halonen, Tarja",SDP,Tarja,Halonen,Ulkoasiainministeri,1999-2003,Tarja_Halonen
162,"Hiltunen, Rakel",SDP,Rakel,Hiltunen,,1999-2003,Rakel_Hiltunen
163,"Jaakonsaari, Liisa",SDP,Liisa,Jaakonsaari,,1999-2003,Liisa_Jaakonsaari
164,"Kalliomäki, Antti",SDP,Antti,Kalliomäki,,1999-2003,Antti_Kalliomäki
165,"Kähkönen, Lauri",SDP,Lauri,Kähkönen,,1999-2003,Lauri_Kähkönen
166,"Kiljunen, Kimmo",SDP,Kimmo,Kiljunen,,1999-2003,Kimmo_Kiljunen
167,"Kekkonen, Antero",SDP,Antero,Kekkonen,,1999-2003,Antero_Kekkonen
168,"Koskinen, Johannes",SDP,Johannes,Koskinen,Oikeusministeri,1999-2003,Johannes_Koskinen
169,"Kuisma, Risto",SDP,Risto,Kuisma,,1999-2003,Risto_Kuisma
170,"Lipponen, Paavo",SDP,Paavo,Lipponen,Pääministeri,1999-2003,Paavo_Lipponen
171,"Paasio, Heli",SDP,Heli,Paasio,,1999-2003,Heli_Paasio
172,"Rajamäki, Kari",SDP,Kari,Rajamäki,,1999-2003,Kari_Rajamäki
173,"Viitanen, Pia",SDP,Pia,Viitanen,,1999-2003,Pia_Viitanen
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja,Ulkoasiainministeri;; Kauppa- ja teollisuusministeri,1999-2003,Erkki_Tuomioja
175,"Urpilainen, Kari",SDP,Kari,Urpilainen,,1999-2003,Kari_Urpilainen
176,"Skinnari, Jouko",SDP,Jouko,Skinnari,,1999-2003,Jouko_Skinnari
177,"Elo, Mikko",SDP,Mikko,Elo,,1999-2003,Mikko_Elo
178,"Huovinen, Susanna",SDP,Susanna,Huovinen,,1999-2003,Susanna_Huovinen
179,"Juurola, Ulla",SDP,Ulla,Juurola,,1999-2003,Ulla_Juurola
180,"Kallio, Reijo",SDP,Reijo,Kallio,,1999-2003,Reijo_Kallio
181,"Kanerva, Erkki",SDP,Erkki,Kanerva,,1999-2003,Erkki_Kanerva
182,"Karhu, Saara",SDP,Saara,Karhu,,1999-2003,Saara_Karhu
183,"Karjalainen, Tapio",SDP,Tapio,Karjalainen,,1999-2003,Tapio_Karjalainen
184,"Kautto, Tarja",SDP,Tarja,Kautto,,1999-2003,Tarja_Kautto
185,"Koski, Valto",SDP,Valto,Koski,,1999-2003,Valto_Koski
186,"Lahtela, Esa",SDP,Esa,Lahtela,,1999-2003,Esa_Lahtela
187,"Laitinen, Reijo",SDP,Reijo,Laitinen,,1999-2003,Reijo_Laitinen
188,"Luhtanen, Leena",SDP,Leena,Luhtanen,,1999-2003,Leena_Luhtanen
189,"Mikkola, Jukka",SDP,Jukka,Mikkola,,1999-2003,Jukka_Mikkola
190,"Mähönen, Raimo",SDP,Raimo,Mähönen,,1999-2003,Raimo_Mähönen
191,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre,Kauppa- ja teollisuusministeri;; Työministeri,1999-2003,Sinikka_Mönkäre
192,"Olin, Kalevi",SDP,Kalevi,Olin,,1999-2003,Kalevi_Olin
193,"Peltomo, Pirkko",SDP,Pirkko,Peltomo,,1999-2003,Pirkko_Peltomo
194,"Prusti, Riitta",SDP,Riitta,Prusti,,1999-2003,Riitta_Prusti
195,"Puisto, Virpa",SDP,Virpa,Puisto,,1999-2003,Virpa_Puisto
196,"Rahkonen, Susanna",SDP,Susanna,Rahkonen,,1999-2003,Susanna_Rahkonen
197,"Ranta, Jussi",SDP,Jussi,Ranta,,1999-2003,Jussi_Ranta
198,"Rask, Maija",SDP,Maija,Rask,Opetusministeri,1999-2003,Maija_Rask
199,"Rönni, Tero",SDP,Tero,Rönni,,1999-2003,Tero_Rönni
200,"Saarinen, Matti",SDP,Matti,Saarinen,,1999-2003,Matti_Saarinen
201,"Seppälä, Arto",SDP,Arto,Seppälä,,1999-2003,Arto_Seppälä
202,"Tahvanainen, Säde",SDP,Säde,Tahvanainen,,1999-2003,Säde_Tahvanainen
203,"Vehkaoja, Marjatta",SDP,Marjatta,Vehkaoja,,1999-2003,Marjatta_Vehkaoja
204,"Vähänäkki, Matti",SDP,Matti,Vähänäkki,,1999-2003,Matti_Vähänäkki
205,"Wallin, Harry",SDP,Harry,Wallin,,1999-2003,Harry_Wallin
206,"Hellberg, Klaus",SDP,Klaus,Hellberg,,1999-2003,Klaus_Hellberg
207,"Kuisma, Risto",remonttiryhmä,Risto,Kuisma,,1999-2003,Risto_Kuisma
0,"Ahde, Matti",SDP,Matti,Ahde, ,2003-2007,Matti_Ahde
1,"Ahonen, Esko",Keskusta,Esko,Ahonen, ,2003-2007,Esko_Ahonen
2,"Akaan-Penttilä, Eero",Kokoomus,Eero,Akaan-Penttilä, ,2003-2007,Eero_Akaan-Penttilä
3,"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä, ,2003-2007,Olavi_Ala-Nissilä
4,"Alatalo, Mikko",Keskusta,Mikko,Alatalo, ,2003-2007,Mikko_Alatalo
5,"Alho, Arja",SDP,Arja,Alho, ,2003-2007,Arja_Alho
6,"Andersson, Janina",Vihreät,Janina,Andersson, ,2003-2007,Janina_Andersson
7,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, ,2003-2007,Sirkka-Liisa_Anttila
