,name,party,firstname,lastname,position
0,"Matti, Ahde",sdp,Matti,Ahde, 
1,"Esko, Ahonen",kesk,Esko,Ahonen, 
2,"Eero, Akaan-Penttilä",kok,Eero,Akaan-Penttilä, 
3,"Outi, Alanko-Kahiluoto",vihr,Outi,Alanko-Kahiluoto, 
4,"Mikko, Alatalo",kesk,Mikko,Alatalo, 
5,"Claes, Andersson",vas,Claes,Andersson, 
6,"Janina, Andersson",vihr,Janina,Andersson, 
7,"Sirkka-Liisa, Anttila",kesk,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;
8,"Paavo, Arhinmäki",vas,Paavo,Arhinmäki, 
9,"Marko, Asell",sdp,Marko,Asell, 
10,"Sirpa, Asko-Seljavaara",kok,Sirpa,Asko-Seljavaara, 
11,"Risto, Autio",kesk,Risto,Autio, 
12,"Thomas, Blomqvist",rkp,Thomas,Blomqvist, 
13,"Tuija, Brax",vihr,Tuija,Brax, Oikeusministeri;;Oikeusministeri;;
14,"Maarit, Feldt-Ranta",sdp,Maarit,Feldt-Ranta, 
15,"Tarja, Filatov",sdp,Tarja,Filatov, 
16,"Merikukka, Forsius",vihr,Merikukka,Forsius, 
17,"Christina, Gestrin",rkp,Christina,Gestrin, 
18,"Jukka, Gustafsson",sdp,Jukka,Gustafsson, 
19,"Maria, Guzenina-Richardson",sdp,Maria,Guzenina-Richardson, 
20,"Susanna, Haapoja",kesk,Susanna,Haapoja, 
21,"Tuula, Haatainen",sdp,Tuula,Haatainen, 
22,"Pekka, Haavisto",vihr,Pekka,Haavisto, 
23,"Juha, Hakola",kok,Juha,Hakola, 
24,"Leena, Harkimo",kok,Leena,Harkimo, 
25,"Heidi, Hautala",vihr,Heidi,Hautala, 
26,"Lasse, Hautala",kesk,Lasse,Hautala, 
27,"Hannakaisa, Heikkinen",kesk,Hannakaisa,Heikkinen, 
28,"Timo, Heinonen",kok,Timo,Heinonen, 
29,"Eero, Heinäluoma",sdp,Eero,Heinäluoma, 
30,"Pertti, Hemmilä",kok,Pertti,Hemmilä, 
31,"Hanna-Leena, Hemming",kok,Hanna-Leena,Hemming, 
32,"Anna-Maja, Henriksson",rkp,Anna-Maja,Henriksson, 
33,"Rakel, Hiltunen",sdp,Rakel,Hiltunen, 
34,"Anne, Holmlund",kok,Anne,Holmlund, Sisäasiainministeri;;Sisäasiainministeri;;
35,"Hannu, Hoskonen",kesk,Hannu,Hoskonen, 
36,"Susanna, Huovinen",sdp,Susanna,Huovinen, 
37,"Sinikka, Hurskainen",sdp,Sinikka,Hurskainen, 
38,"Liisa, Hyssälä",kesk,Liisa,Hyssälä, Sosiaali- ja terveysministeri;; Ministeri työministeriössä;;
39,"Jyri, Häkämies",kok,Jyri,Häkämies, Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;
40,"Tuomo, Hänninen",kesk,Tuomo,Hänninen, 
41,"Liisa, Jaakonsaari",sdp,Liisa,Jaakonsaari, 
42,"Harri, Jaskari",kok,Harri,Jaskari, 
43,"Kalle, Jokinen",kok,Kalle,Jokinen, 
44,"Timo, Juurikkala",vihr,Timo,Juurikkala, 
45,"Heli, Järvinen",vihr,Heli,Järvinen, 
46,"Pietari, Jääskeläinen",ps,Pietari,Jääskeläinen, 
47,"Antti, Kaikkonen",kesk,Antti,Kaikkonen, 
48,"Antti, Kalliomäki",sdp,Antti,Kalliomäki, 
49,"Reijo, Kallio",sdp,Reijo,Kallio, 
50,"Bjarne, Kallis",kd,Bjarne,Kallis, 
51,"Timo, Kalli",kesk,Timo,Kalli, 
52,"Anne, Kalmari",kesk,Anne,Kalmari, 
53,"Oiva, Kaltiokumpu",kesk,Oiva,Kaltiokumpu, 
54,"Ilkka, Kanerva",kok,Ilkka,Kanerva, Ulkoasiainministeri;;
55,"Matti, Kangas",vas,Matti,Kangas, 
56,"Toimi, Kankaanniemi",kd,Toimi,Kankaanniemi, 
57,"Ilkka, Kantola",sdp,Ilkka,Kantola, 
58,"Saara, Karhu",sdp,Saara,Karhu, 
59,"Arja, Karhuvaara",kok,Arja,Karhuvaara, 
60,"Johanna, Karimäki",vihr,Johanna,Karimäki, 
61,"Kyösti, Karjula",kesk,Kyösti,Karjula, 
62,"Tanja, Karpela",kesk,Tanja,Karpela, 
63,"Ulla, Karvo",kok,Ulla,Karvo, 
64,"Jyrki, Kasvi",vihr,Jyrki,Kasvi, 
65,"Elsi, Katainen",kesk,Elsi,Katainen, 
66,"Jyrki, Katainen",kok,Jyrki,Katainen, Pääministerin sijainen;; Valtiovarainministeri;;Pääministerin sijainen;; Valtiovarainministeri;;
67,"Sampsa, Kataja",kok,Sampsa,Kataja, 
68,"Timo, Kaunisto",kesk,Timo,Kaunisto, 
69,"Matti, Kauppila",vas,Matti,Kauppila, 
70,"Inkeri, Kerola",kesk,Inkeri,Kerola, 
71,"Anneli, Kiljunen",sdp,Anneli,Kiljunen, 
72,"Kimmo, Kiljunen",sdp,Kimmo,Kiljunen, 
73,"Krista, Kiuru",sdp,Krista,Kiuru, 
74,"Mari, Kiviniemi",kesk,Mari,Kiviniemi, Ministeri sisäasiainministeriössä;; Hallinto- ja kuntaministeri;;Pääministeri;;
75,"Esko, Kiviranta",kesk,Esko,Kiviranta, 
76,"Katri, Komi",kesk,Katri,Komi, 
77,"Martti, Korhonen",vas,Martti,Korhonen, 
78,"Timo, Korhonen",kesk,Timo,Korhonen, 
79,"Juha, Korkeaoja",kesk,Juha,Korkeaoja, 
80,"Jari, Koskinen",kok,Jari,Koskinen, 
81,"Johannes, Koskinen",sdp,Johannes,Koskinen, 
82,"Marjaana, Koskinen",sdp,Marjaana,Koskinen, 
83,"Valto, Koski",sdp,Valto,Koski, 
84,"Risto, Kuisma",sdp,Risto,Kuisma, 
85,"Miapetra, Kumpula-Natri",sdp,Miapetra,Kumpula-Natri, 
86,"Mikko, Kuoppa",vas,Mikko,Kuoppa, 
87,"Merja, Kuusisto",sdp,Merja,Kuusisto, 
88,"Merja, Kyllönen",vas,Merja,Kyllönen, 
89,"Lauri, Kähkönen",sdp,Lauri,Kähkönen, 
90,"Kari, Kärkkäinen",kd,Kari,Kärkkäinen, 
91,"Seppo, Kääriäinen",kesk,Seppo,Kääriäinen, 
92,"Jaakko, Laakso",vas,Jaakko,Laakso, 
93,"Esa, Lahtela",sdp,Esa,Lahtela, 
94,"Reijo, Laitinen",sdp,Reijo,Laitinen, 
95,"Annika, Lapintie",vas,Annika,Lapintie, 
96,"Jari, Larikka",kok,Jari,Larikka, 
97,"Markku, Laukkanen",kesk,Markku,Laukkanen, 
98,"Sanna, Lauslahti",kok,Sanna,Lauslahti, 
99,"Jouko, Laxell",kok,Jouko,Laxell, 
100,"Eero, Lehti",kok,Eero,Lehti, 
101,"Paula, Lehtomäki",kesk,Paula,Lehtomäki, Ympäristöministeri;; Ympäristöministeri;;Ympäristöministeri;;
102,"Jari, Leppä",kesk,Jari,Leppä, 
103,"Suvi, Lindén",kok,Suvi,Lindén, Viestintäministeri;;Viestintäministeri;;
104,"Mika, Lintilä",kesk,Mika,Lintilä, 
105,"Päivi, Lipponen",sdp,Päivi,Lipponen, 
106,"Hannes, Manninen",kesk,Hannes,Manninen, 
107,"Marjo, Matikainen-Kallström",kok,Marjo,Matikainen-Kallström, 
108,"Juha, Mieto",kesk,Juha,Mieto, 
109,"Markus, Mustajärvi",vas,Markus,Mustajärvi, 
110,"Jukka, Mäkelä",kok,Jukka,Mäkelä, 
111,"Outi, Mäkelä",kok,Outi,Mäkelä, 
112,"Tapani, Mäkinen",kok,Tapani,Mäkinen, 
113,"Elisabeth, Nauclér",r,Elisabeth,Nauclér, 
114,"Olli, Nepponen",kok,Olli,Nepponen, 
115,"Sauli, Niinistö",kok,Sauli,Niinistö, 
116,"Ville, Niinistö",vihr,Ville,Niinistö, 
117,"Håkan, Nordman",rkp,Håkan,Nordman, 
118,"Tuija, Nurmi",kok,Tuija,Nurmi, 
119,"Mikaela, Nylander",rkp,Mikaela,Nylander, 
120,"Mats, Nylund",rkp,Mats,Nylund, 
121,"Lauri, Oinonen",kesk,Lauri,Oinonen, 
122,"Pentti, Juhani",ps,Pentti,Juhani, 
123,"Johanna, Ojala-Niemelä",sdp,Johanna,Ojala-Niemelä, 
124,"Kirsi, Ojansuu",vihr,Kirsi,Ojansuu, 
125,"Heikki, Ollila",kok,Heikki,Ollila, 
126,"Petteri, Orpo",kok,Petteri,Orpo, 
127,"Reijo, Paajanen",kok,Reijo,Paajanen, 
128,"Heli, Paasio",sdp,Heli,Paasio, 
129,"Sirpa, Paatero",sdp,Sirpa,Paatero, 
130,"Markku, Pakkanen",kesk,Markku,Pakkanen, 
131,"Sari, Palm",kd,Sari,Palm, 
132,"Aila, Paloniemi",kesk,Aila,Paloniemi, 
133,"Mauri, Pekkarinen",kesk,Mauri,Pekkarinen, Ministeri sisäasiainministeriössä;; Kauppa- ja teollisuusministeri;; Elinkeinoministeri;;Elinkeinoministeri;;
134,"Tuula, Peltonen",sdp,Tuula,Peltonen, 
135,"Klaus, Pentti",kesk,Klaus,Pentti, 
136,"Sanna, Perkiö",kok,Sanna,Perkiö, 
137,"Petri, Pihlajaniemi",kok,Petri,Pihlajaniemi, 
138,"Raimo, Piirainen",sdp,Raimo,Piirainen, 
139,"Veijo, Puhjo",vas,Veijo,Puhjo, 
140,"Erkki, Pulliainen",vihr,Erkki,Pulliainen, 
141,"Tuomo, Puumala",kesk,Tuomo,Puumala, 
142,"Lyly, Rajala",kok,Lyly,Rajala, 
143,"Kari, Rajamäki",sdp,Kari,Rajamäki, 
144,"Antti, Rantakangas",kesk,Antti,Rantakangas, 
145,"Leena, Rauhala",kd,Leena,Rauhala, 
146,"Pekka, Ravi",kok,Pekka,Ravi, 
147,"Juha, Rehula",kesk,Juha,Rehula, Sosiaali- ja terveysministeri;;Sosiaali- ja terveysministeri;;
148,"Eero, Reijonen",kesk,Eero,Reijonen, 
149,"Paula, Risikko",kok,Paula,Risikko, Peruspalveluministeri;; Ministeri ympäristöministeriössä;;Peruspalveluministeri;;
150,"Markku, Rossi",kesk,Markku,Rossi, 
151,"Pirkko, Ruohonen-Lerner",ps,Pirkko,Ruohonen-Lerner, 
152,"Päivi, Räsänen",kd,Päivi,Räsänen, 
153,"Tero, Rönni",sdp,Tero,Rönni, 
154,"Matti, Saarinen",sdp,Matti,Saarinen, 
155,"Pertti, Salolainen",kok,Pertti,Salolainen, 
156,"Petri, Salo",kok,Petri,Salo, 
157,"Pertti, Salovaara",kesk,Pertti,Salovaara, 
158,"Sari, Sarkomaa",kok,Sari,Sarkomaa, Opetusministeri;;
159,"Kimmo, Sasi",kok,Kimmo,Sasi, 
160,"Arto, Satonen",kok,Arto,Satonen, 
161,"Janne, Seurujärvi",kesk,Janne,Seurujärvi, 
162,"Paula, Sihto",kesk,Paula,Sihto, 
163,"Anni, Sinnemäki",vihr,Anni,Sinnemäki, Työministeri;;Työministeri;;
164,"Minna, Sirnö",vas,Minna,Sirnö, 
165,"Jouko, Skinnari",sdp,Jouko,Skinnari, 
166,"Timo, Soini",ps,Timo,Soini, 
167,"Johanna, Sumuvuori",vihr,Johanna,Sumuvuori, 
168,"Seppo, Särkiniemi",kesk,Seppo,Särkiniemi, 
169,"Jacob, Söderman",sdp,Jacob,Söderman, 
170,"Tommy, Tabermann",sdp,Tommy,Tabermann, 
171,"Katja, Taimela",sdp,Katja,Taimela, 
172,"Satu, Taiveaho",sdp,Satu,Taiveaho, 
173,"Tarja, Tallqvist",kd,Tarja,Tallqvist, 
174,"Esko-Juhani, Tennilä",vas,Esko-Juhani,Tennilä, 
175,"Astrid, Thors",rkp,Astrid,Thors, Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;; Ministeri työministeriössä;;Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;;
176,"Kimmo, Tiilikainen",kesk,Kimmo,Tiilikainen, Ympäristöministeri;;
177,"Marja, Tiura",kok,Marja,Tiura, 
178,"Pentti, Tiusanen",vas,Pentti,Tiusanen, 
179,"Lenita, Toivakka",kok,Lenita,Toivakka, 
180,"Erkki, Tuomioja",sdp,Erkki,Tuomioja, 
181,"Oras, Tynkkynen",vihr,Oras,Tynkkynen, 
182,"Tapani, Tölli",kesk,Tapani,Tölli, Hallinto- ja kuntaministeri;;
183,"Tuulikki, Ukkola",kok,Tuulikki,Ukkola, 
184,"Kari, Uotila",vas,Kari,Uotila, 
185,"Jutta, Urpilainen",sdp,Jutta,Urpilainen, 
186,"Markku, Uusipaavalniemi",kesk,Markku,Uusipaavalniemi, 
187,"Raija, Vahasalo",kok,Raija,Vahasalo, 
188,"Unto, Valpas",vas,Unto,Valpas, 
189,"Matti, Vanhanen",kesk,Matti,Vanhanen, Pääministeri;;
190,"Jan, Vapaavuori",kok,Jan,Vapaavuori, Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;
191,"Mirja, Vehkaperä",kesk,Mirja,Vehkaperä, 
192,"Anu, Vehviläinen",kesk,Anu,Vehviläinen, Liikenneministeri;;Liikenneministeri;;
193,"Pauliina, Viitamies",sdp,Pauliina,Viitamies, 
194,"Pia, Viitanen",sdp,Pia,Viitanen, 
195,"Ilkka, Viljanen",kok,Ilkka,Viljanen, 
196,"Pekka, Vilkuna",kesk,Pekka,Vilkuna, 
197,"Henna, Virkkunen",kok,Henna,Virkkunen, Opetusministeri;; Opetusministeri;;Opetusministeri;;
198,"Anne-Mari, Virolainen",kok,Anne-Mari,Virolainen, 
199,"Erkki, Virtanen",vas,Erkki,Virtanen, 
200,"Pertti, Virtanen",ps,Pertti,Virtanen, 
201,"Raimo, Vistbacka",ps,Raimo,Vistbacka, 
202,"Antti, Vuolanne",sdp,Antti,Vuolanne, 
203,"Paavo, Väyrynen",kesk,Paavo,Väyrynen, Ulkomaankauppa- ja kehitysministeri;;Ulkomaankauppa- ja kehitysministeri;;
204,"Tuula, Väätäinen",sdp,Tuula,Väätäinen, 
205,"Stefan, Wallin",rkp,Stefan,Wallin, Kulttuuri- ja urheiluministeri;; Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;
206,"Ulla-Maj, Wideroos",rkp,Ulla-Maj,Wideroos, 
207,"Jyrki, Yrttiaho",vas,Jyrki,Yrttiaho, 
208,"Ben, Zyskowicz",kok,Ben,Zyskowicz, 
